Blunder scores,Eval swings (first 10 moves),Eval swings std (middlegame),Eval swings mean (middlegame),Opening depth,Mean eval swings,Eval swing std,Mean time usage per move (%),Time usage std per move (%),Moves per game,"Mean time usage per move (%, middlegame)","Time usage std per move (%, middlegame)",Moves before time pressure
0.333333333,0.14,0.539517918,0.424375,5,0.44,0.503946331,4.197368421,6.3244254,18,10.92,16.27808998,16
0.105263158,0.09,0.2685733,0.217647059,9,0.194722222,0.459679927,2.681025228,3.751313689,28.5,16.45882353,20.83697731,17
0.375,0.47,1.066173276,0.586363636,5,0.429130435,0.659217806,2.000783392,3.187043392,36,20.73090909,18.44295066,11
0.375,0.15,0.486001477,0.298461538,5,0.457368421,0.707835239,2.590197368,7.241494437,30,11.00615385,17.36704808,13
0.026315789,0.09,0.247672499,0.16,9,0.171351351,0.240822228,2.416270542,2.647836854,28.5,11.9248,11.77026944,25
0.27027027,0.09,0.613432187,0.307619048,6,0.464285714,1.035906212,2.704276615,3.342324816,27.75,9.782857143,9.368684616,21
0.322033898,0,,,2,,,,,44.25,,,0
0.652777778,0,,,11,,,,,27,,,0
0.157894737,0.07,0.091069148,0.104615385,8,0.172432432,0.543123414,1.318584071,3.222503766,57,16.4,27.08717778,13
0.013888889,0.16,0.317224523,0.242258065,9,0.230857143,0.300375955,2.369708995,3.708601769,27,5.701935484,8.342807449,31
0.098039216,0.09,0.306456785,0.27125,8,0.372040816,0.417677006,1.968118591,2.990415804,38.25,11.51666667,15.73688845,24
0.423076923,0.23,0.285507068,0.23,6,0.890588235,2.71850651,1.899129479,2.33155903,39,14.31272727,13.00155382,22
0.038461538,0.19,0.15338405,0.144666667,9,0.15625,0.168440739,4.032969256,3.431336469,19.5,9.736,7.210671457,15
0.282608696,0.34,1.584948273,0.858823529,10,0.71047619,1.452144883,3.645056416,6.598765652,17.25,9.545882353,18.0358584,17
0.131578947,0.06,0.893814351,0.344736842,8,0.327876106,1.250948534,0.859187923,1.799315431,85.5,9.705263158,15.36027899,19
0.1125,0,,,13,,,,,30,,,0
0.148148148,0.12,0.201115311,0.198421053,9,0.4816,1.558318217,3.39008547,4.754162187,20.25,9.225263158,12.38823966,19
0.333333333,0.25,0.155692004,0.252,2,0.252,0.155692004,2.979487179,4.192149557,9,9.296,13.07950662,10
0.09375,0.12,0.143747765,0.124090909,7,0.33173913,0.786596902,2.150612194,3.443473965,36,11.62545455,15.56556172,22
0.333333333,0.29,0.576468075,0.378235294,3,0.650465116,1.150914654,2.165829457,2.845675245,33.75,12.95764706,13.78521288,17
0.170212766,0,,,7,,,,,35.25,,,0
0.393939394,0.1,0.452383394,0.315882353,3,1.632258065,4.549342597,3.022559561,6.022611273,24.75,10.20235294,19.87006024,17
0.122807018,0.11,0.178623718,0.162105263,5,0.282678571,0.495318047,1.724800139,2.779637023,42.75,12.28,17.34194658,19
0.040322581,0.07,0.220661344,0.162857143,20,0.323442623,0.828353558,1.565348586,2.674979893,46.5,9.916190476,14.77391163,21
0.203125,0.12,0.798583876,0.408275862,6,0.38483871,0.776873525,2.548121234,3.460718903,24,9.735517241,12.90430758,29
0.192982456,0.2,0.277866125,0.173125,2,2.360727273,9.351185675,1.673693456,2.297554792,42.75,16.435,11.80499216,16
0.068965517,0.07,0.043471181,0.076923077,2,0.192962963,0.310382082,3.638785779,5.257315994,21.75,21.15384615,23.40797497,13
0.03125,0.15,0.185969438,0.146818182,3,0.169677419,0.183093489,2.839637454,4.534357779,24,16.2,23.52930169,22
0.428571429,0.61,2.009787227,0.969166667,2,0.969166667,2.009787227,1.948948949,1.450541165,10.5,4.326666667,3.220201387,12
0.090909091,0.08,0.556389879,0.363333333,20,0.242857143,0.440081161,3.274487031,4.223833419,16.5,11.11333333,12.68413277,12
0.048780488,0.08,0.382453899,0.293589744,3,0.287,0.379812369,2.161068702,1.887482817,30.75,5.647179487,5.008950909,39
0.694444444,0,,,2,,,,,54,,,0
0.655172414,0,,,15,,,,,21.75,,,0
0.183673469,0.25,0.235555017,0.189565217,2,0.708297872,1.526061027,2.108832736,3.178109942,36.75,14.90608696,19.04256136,23
0.804878049,0.12,0.339666503,0.233333333,5,2.371025641,5.002102608,2.539184604,2.575241619,30.75,16.52761905,12.51492305,21
0,0,,,2,,,,,26.25,,,0
0.301886792,0.13,0.352881,0.314,4,0.533529412,0.887497208,1.795518207,2.386319772,39.75,11.0384,11.37121794,25
